measurement_id,species_id,var,val
38,1,Petal.Length,1.4
38,1,Petal.Width,0.1
39,1,Sepal.Length,4.4
39,1,Sepal.Width,3
39,1,Petal.Length,1.3
39,1,Petal.Width,0.2
40,1,Sepal.Length,5.1
40,1,Sepal.Width,3.4
40,1,Petal.Length,1.5
40,1,Petal.Width,0.2
41,1,Sepal.Length,5
41,1,Sepal.Width,3.5
41,1,Petal.Length,1.3
41,1,Petal.Width,0.3
42,1,Sepal.Length,4.5
42,1,Sepal.Width,2.3
42,1,Petal.Length,1.3
42,1,Petal.Width,0.3
43,1,Sepal.Length,4.4
43,1,Sepal.Width,3.2
43,1,Petal.Length,1.3
43,1,Petal.Width,0.2
44,1,Sepal.Length,5
44,1,Sepal.Width,3.5
44,1,Petal.Length,1.6
44,1,Petal.Width,0.6
45,1,Sepal.Length,5.1
45,1,Sepal.Width,3.8
45,1,Petal.Length,1.9
45,1,Petal.Width,0.4
46,1,Sepal.Length,4.8
46,1,Sepal.Width,3
46,1,Petal.Length,1.4
46,1,Petal.Width,0.3
47,1,Sepal.Length,5.1
47,1,Sepal.Width,3.8
47,1,Petal.Length,1.6
47,1,Petal.Width,0.2
48,1,Sepal.Length,4.6
48,1,Sepal.Width,3.2
48,1,Petal.Length,1.4
48,1,Petal.Width,0.2
49,1,Sepal.Length,5.3
49,1,Sepal.Width,3.7
49,1,Petal.Length,1.5
49,1,Petal.Width,0.2
50,1,Sepal.Length,5
50,1,Sepal.Width,3.3
50,1,Petal.Length,1.4
50,1,Petal.Width,0.2
51,2,Sepal.Length,7
51,2,Sepal.Width,3.2
51,2,Petal.Length,4.7
51,2,Petal.Width,1.4
52,2,Sepal.Length,6.4
52,2,Sepal.Width,3.2
52,2,Petal.Length,4.5
52,2,Petal.Width,1.5
53,2,Sepal.Length,6.9
53,2,Sepal.Width,3.1
53,2,Petal.Length,4.9
53,2,Petal.Width,1.5
54,2,Sepal.Length,5.5
54,2,Sepal.Width,2.3
54,2,Petal.Length,4
54,2,Petal.Width,1.3
55,2,Sepal.Length,6.5
55,2,Sepal.Width,2.8
55,2,Petal.Length,4.6
55,2,Petal.Width,1.5
56,2,Sepal.Length,5.7
56,2,Sepal.Width,2.8
56,2,Petal.Length,4.5
56,2,Petal.Width,1.3
57,2,Sepal.Length,6.3
57,2,Sepal.Width,3.3
57,2,Petal.Length,4.7
57,2,Petal.Width,1.6
58,2,Sepal.Length,4.9
58,2,Sepal.Width,2.4
58,2,Petal.Length,3.3
58,2,Petal.Width,1
59,2,Sepal.Length,6.6
59,2,Sepal.Width,2.9
59,2,Petal.Length,4.6
59,2,Petal.Width,1.3
60,2,Sepal.Length,5.2
60,2,Sepal.Width,2.7
60,2,Petal.Length,3.9
60,2,Petal.Width,1.4
61,2,Sepal.Length,5
61,2,Sepal.Width,2
61,2,Petal.Length,3.5
61,2,Petal.Width,1
62,2,Sepal.Length,5.9
62,2,Sepal.Width,3
62,2,Petal.Length,4.2
62,2,Petal.Width,1.5
63,2,Sepal.Length,6
63,2,Sepal.Width,2.2
63,2,Petal.Length,4
63,2,Petal.Width,1
64,2,Sepal.Length,6.1
64,2,Sepal.Width,2.9
64,2,Petal.Length,4.7
64,2,Petal.Width,1.4
65,2,Sepal.Length,5.6
65,2,Sepal.Width,2.9
65,2,Petal.Length,3.6
65,2,Petal.Width,1.3
66,2,Sepal.Length,6.7
66,2,Sepal.Width,3.1
66,2,Petal.Length,4.4
66,2,Petal.Width,1.4
67,2,Sepal.Length,5.6
67,2,Sepal.Width,3
67,2,Petal.Length,4.5
67,2,Petal.Width,1.5
68,2,Sepal.Length,5.8
68,2,Sepal.Width,2.7
68,2,Petal.Length,4.1
68,2,Petal.Width,1
69,2,Sepal.Length,6.2
69,2,Sepal.Width,2.2
69,2,Petal.Length,4.5
69,2,Petal.Width,1.5
70,2,Sepal.Length,5.6
70,2,Sepal.Width,2.5
70,2,Petal.Length,3.9
70,2,Petal.Width,1.1
71,2,Sepal.Length,5.9
71,2,Sepal.Width,3.2
71,2,Petal.Length,4.8
71,2,Petal.Width,1.8
72,2,Sepal.Length,6.1
72,2,Sepal.Width,2.8
72,2,Petal.Length,4
72,2,Petal.Width,1.3
73,2,Sepal.Length,6.3
73,2,Sepal.Width,2.5
73,2,Petal.Length,4.9
73,2,Petal.Width,1.5
74,2,Sepal.Length,6.1
74,2,Sepal.Width,2.8
74,2,Petal.Length,4.7
74,2,Petal.Width,1.2
75,2,Sepal.Length,6.4
75,2,Sepal.Width,2.9
75,2,Petal.Length,4.3
75,2,Petal.Width,1.3
76,2,Sepal.Length,6.6
76,2,Sepal.Width,3
76,2,Petal.Length,4.4
76,2,Petal.Width,1.4
77,2,Sepal.Length,6.8
77,2,Sepal.Width,2.8
77,2,Petal.Length,4.8
77,2,Petal.Width,1.4
78,2,Sepal.Length,6.7
78,2,Sepal.Width,3
78,2,Petal.Length,5
78,2,Petal.Width,1.7
79,2,Sepal.Length,6
79,2,Sepal.Width,2.9
79,2,Petal.Length,4.5
79,2,Petal.Width,1.5
80,2,Sepal.Length,5.7
80,2,Sepal.Width,2.6
80,2,Petal.Length,3.5
80,2,Petal.Width,1
81,2,Sepal.Length,5.5
81,2,Sepal.Width,2.4
81,2,Petal.Length,3.8
81,2,Petal.Width,1.1
82,2,Sepal.Length,5.5
82,2,Sepal.Width,2.4
82,2,Petal.Length,3.7
82,2,Petal.Width,1
83,2,Sepal.Length,5.8
83,2,Sepal.Width,2.7
83,2,Petal.Length,3.9
83,2,Petal.Width,1.2
84,2,Sepal.Length,6
84,2,Sepal.Width,2.7
84,2,Petal.Length,5.1
84,2,Petal.Width,1.6
85,2,Sepal.Length,5.4
85,2,Sepal.Width,3
85,2,Petal.Length,4.5
85,2,Petal.Width,1.5
86,2,Sepal.Length,6
86,2,Sepal.Width,3.4
86,2,Petal.Length,4.5
86,2,Petal.Width,1.6
87,2,Sepal.Length,6.7
87,2,Sepal.Width,3.1
87,2,Petal.Length,4.7
87,2,Petal.Width,1.5
88,2,Sepal.Length,6.3
88,2,Sepal.Width,2.3
88,2,Petal.Length,4.4
88,2,Petal.Width,1.3
89,2,Sepal.Length,5.6
89,2,Sepal.Width,3
89,2,Petal.Length,4.1
89,2,Petal.Width,1.3
90,2,Sepal.Length,5.5
90,2,Sepal.Width,2.5
90,2,Petal.Length,4
90,2,Petal.Width,1.3
91,2,Sepal.Length,5.5
91,2,Sepal.Width,2.6
91,2,Petal.Length,4.4
91,2,Petal.Width,1.2
92,2,Sepal.Length,6.1
92,2,Sepal.Width,3
92,2,Petal.Length,4.6
92,2,Petal.Width,1.4
93,2,Sepal.Length,5.8
93,2,Sepal.Width,2.6
93,2,Petal.Length,4
93,2,Petal.Width,1.2
94,2,Sepal.Length,5
94,2,Sepal.Width,2.3
94,2,Petal.Length,3.3
94,2,Petal.Width,1
95,2,Sepal.Length,5.6
95,2,Sepal.Width,2.7
95,2,Petal.Length,4.2
95,2,Petal.Width,1.3
96,2,Sepal.Length,5.7
96,2,Sepal.Width,3
96,2,Petal.Length,4.2
96,2,Petal.Width,1.2
97,2,Sepal.Length,5.7
97,2,Sepal.Width,2.9
97,2,Petal.Length,4.2
97,2,Petal.Width,1.3
98,2,Sepal.Length,6.2
98,2,Sepal.Width,2.9
98,2,Petal.Length,4.3
98,2,Petal.Width,1.3
99,2,Sepal.Length,5.1
99,2,Sepal.Width,2.5
99,2,Petal.Length,3
99,2,Petal.Width,1.1
100,2,Sepal.Length,5.7
100,2,Sepal.Width,2.8
100,2,Petal.Length,4.1
100,2,Petal.Width,1.3
101,3,Sepal.Length,6.3
101,3,Sepal.Width,3.3
101,3,Petal.Length,6
101,3,Petal.Width,2.5
102,3,Sepal.Length,5.8
102,3,Sepal.Width,2.7
102,3,Petal.Length,5.1
102,3,Petal.Width,1.9
103,3,Sepal.Length,7.1
103,3,Sepal.Width,3
103,3,Petal.Length,5.9
103,3,Petal.Width,2.1
104,3,Sepal.Length,6.3
104,3,Sepal.Width,2.9
104,3,Petal.Length,5.6
104,3,Petal.Width,1.8
105,3,Sepal.Length,6.5
105,3,Sepal.Width,3
105,3,Petal.Length,5.8
105,3,Petal.Width,2.2
106,3,Sepal.Length,7.6
106,3,Sepal.Width,3
106,3,Petal.Length,6.6
106,3,Petal.Width,2.1
107,3,Sepal.Length,4.9
107,3,Sepal.Width,2.5
107,3,Petal.Length,4.5
107,3,Petal.Width,1.7
108,3,Sepal.Length,7.3
108,3,Sepal.Width,2.9
108,3,Petal.Length,6.3
108,3,Petal.Width,1.8
109,3,Sepal.Length,6.7
109,3,Sepal.Width,2.5
109,3,Petal.Length,5.8
109,3,Petal.Width,1.8
110,3,Sepal.Length,7.2
110,3,Sepal.Width,3.6
110,3,Petal.Length,6.1
110,3,Petal.Width,2.5
111,3,Sepal.Length,6.5
111,3,Sepal.Width,3.2
111,3,Petal.Length,5.1
111,3,Petal.Width,2
112,3,Sepal.Length,6.4
112,3,Sepal.Width,2.7
112,3,Petal.Length,5.3
112,3,Petal.Width,1.9
113,3,Sepal.Length,6.8
113,3,Sepal.Width,3
113,3,Petal.Length,5.5
113,3,Petal.Width,2.1
114,3,Sepal.Length,5.7
114,3,Sepal.Width,2.5
114,3,Petal.Length,5
114,3,Petal.Width,2
115,3,Sepal.Length,5.8
115,3,Sepal.Width,2.8
115,3,Petal.Length,5.1
115,3,Petal.Width,2.4
116,3,Sepal.Length,6.4
116,3,Sepal.Width,3.2
116,3,Petal.Length,5.3
116,3,Petal.Width,2.3
117,3,Sepal.Length,6.5
117,3,Sepal.Width,3
117,3,Petal.Length,5.5
117,3,Petal.Width,1.8
118,3,Sepal.Length,7.7
118,3,Sepal.Width,3.8
118,3,Petal.Length,6.7
118,3,Petal.Width,2.2
119,3,Sepal.Length,7.7
119,3,Sepal.Width,2.6
119,3,Petal.Length,6.9
119,3,Petal.Width,2.3
120,3,Sepal.Length,6
120,3,Sepal.Width,2.2
120,3,Petal.Length,5
120,3,Petal.Width,1.5
121,3,Sepal.Length,6.9
121,3,Sepal.Width,3.2
121,3,Petal.Length,5.7
121,3,Petal.Width,2.3
122,3,Sepal.Length,5.6
122,3,Sepal.Width,2.8
122,3,Petal.Length,4.9
122,3,Petal.Width,2
123,3,Sepal.Length,7.7
123,3,Sepal.Width,2.8
123,3,Petal.Length,6.7
123,3,Petal.Width,2
124,3,Sepal.Length,6.3
124,3,Sepal.Width,2.7
124,3,Petal.Length,4.9
124,3,Petal.Width,1.8
125,3,Sepal.Length,6.7
125,3,Sepal.Width,3.3
125,3,Petal.Length,5.7
125,3,Petal.Width,2.1
126,3,Sepal.Length,7.2
126,3,Sepal.Width,3.2
126,3,Petal.Length,6
126,3,Petal.Width,1.8
127,3,Sepal.Length,6.2
127,3,Sepal.Width,2.8
127,3,Petal.Length,4.8
127,3,Petal.Width,1.8
128,3,Sepal.Length,6.1
128,3,Sepal.Width,3
128,3,Petal.Length,4.9
128,3,Petal.Width,1.8
129,3,Sepal.Length,6.4
129,3,Sepal.Width,2.8
129,3,Petal.Length,5.6
129,3,Petal.Width,2.1
130,3,Sepal.Length,7.2
130,3,Sepal.Width,3
130,3,Petal.Length,5.8
130,3,Petal.Width,1.6
131,3,Sepal.Length,7.4
131,3,Sepal.Width,2.8
131,3,Petal.Length,6.1
131,3,Petal.Width,1.9
132,3,Sepal.Length,7.9
132,3,Sepal.Width,3.8
132,3,Petal.Length,6.4
132,3,Petal.Width,2
133,3,Sepal.Length,6.4
133,3,Sepal.Width,2.8
133,3,Petal.Length,5.6
133,3,Petal.Width,2.2
134,3,Sepal.Length,6.3
134,3,Sepal.Width,2.8
134,3,Petal.Length,5.1
134,3,Petal.Width,1.5
135,3,Sepal.Length,6.1
135,3,Sepal.Width,2.6
135,3,Petal.Length,5.6
135,3,Petal.Width,1.4
136,3,Sepal.Length,7.7
136,3,Sepal.Width,3
136,3,Petal.Length,6.1
136,3,Petal.Width,2.3
137,3,Sepal.Length,6.3
137,3,Sepal.Width,3.4
137,3,Petal.Length,5.6
137,3,Petal.Width,2.4
138,3,Sepal.Length,6.4
138,3,Sepal.Width,3.1
138,3,Petal.Length,5.5
138,3,Petal.Width,1.8
139,3,Sepal.Length,6
139,3,Sepal.Width,3
139,3,Petal.Length,4.8
139,3,Petal.Width,1.8
140,3,Sepal.Length,6.9
140,3,Sepal.Width,3.1
140,3,Petal.Length,5.4
140,3,Petal.Width,2.1
141,3,Sepal.Length,6.7
141,3,Sepal.Width,3.1
141,3,Petal.Length,5.6
141,3,Petal.Width,2.4
142,3,Sepal.Length,6.9
142,3,Sepal.Width,3.1
142,3,Petal.Length,5.1
142,3,Petal.Width,2.3
143,3,Sepal.Length,5.8
143,3,Sepal.Width,2.7
143,3,Petal.Length,5.1
143,3,Petal.Width,1.9
144,3,Sepal.Length,6.8
144,3,Sepal.Width,3.2
144,3,Petal.Length,5.9
144,3,Petal.Width,2.3
145,3,Sepal.Length,6.7
145,3,Sepal.Width,3.3
145,3,Petal.Length,5.7
145,3,Petal.Width,2.5
146,3,Sepal.Length,6.7
146,3,Sepal.Width,3
146,3,Petal.Length,5.2
146,3,Petal.Width,2.3
147,3,Sepal.Length,6.3
147,3,Sepal.Width,2.5
147,3,Petal.Length,5
147,3,Petal.Width,1.9
148,3,Sepal.Length,6.5
148,3,Sepal.Width,3
148,3,Petal.Length,5.2
148,3,Petal.Width,2
149,3,Sepal.Length,6.2
149,3,Sepal.Width,3.4
149,3,Petal.Length,5.4
149,3,Petal.Width,2.3
150,3,Sepal.Length,5.9
150,3,Sepal.Width,3
150,3,Petal.Length,5.1
150,3,Petal.Width,1.8
